"term","estimate","std.error","statistic","p.value","comparison","LE8_Component","Odds_Ratio","Lower_CI","Upper_CI","Significance"
"diet_score_scaled",-0.00938394395042041,0.00301727063392794,-3.11007698311908,0.00187038589510557,"CHIP","diet_score_scaled",0.99065994785158,0.984818622467318,0.996535920308376,"Significant"
"diet_score_std",-0.0302795714407388,0.00973595560659434,-3.11007698311914,0.00187038589510517,"CHIP","diet_score_std",0.970174262614105,0.951836460221064,0.988865355735817,"Significant"
"BP_Score_scaled",-0.0120198502368204,0.00381777612512211,-3.14839054016976,0.00164172195382113,"CHIP","BP_Score_scaled",0.988052099599099,0.980686255724878,0.995473267646228,"Significant"
"BP_Score_std",-0.0329474198238968,0.0104648452609444,-3.14839054016967,0.00164172195382164,"CHIP","BP_Score_std",0.96758943427437,0.947945264242027,0.987640688376666,"Significant"
"PA_score_scaled",-0.00323713449852728,0.00338871113970346,-0.955270120430082,0.339441113610444,"CHIP","PA_score_scaled",0.996768099372249,0.990169628776568,1.00341054204396,"Not Significant"
"PA_score_std",-0.00910345363534573,0.00952971671640599,-0.955270120430083,0.339441113610444,"CHIP","PA_score_std",0.990937857346124,0.972600663909582,1.00962077608968,"Not Significant"
"final_smoking_score_scaled",-0.0264019446049114,0.00303663023074054,-8.6944878364307,3.48397720507121e-18,"CHIP","final_smoking_score_scaled",0.973943539572089,0.968164043287575,0.979757536804593,"Significant"
"final_smoking_score_std",-0.0821217571243843,0.00944526677929045,-8.69448783643075,3.48397720506969e-18,"CHIP","final_smoking_score_std",0.92115979410044,0.904263498869666,0.938371799069451,"Significant"
"sleep_health_points_scaled",-0.0118816074806543,0.00494106253567835,-2.40466648516585,0.0161872311538736,"CHIP","sleep_health_points_scaled",0.98818870008638,0.97866479532592,0.997805287001464,"Significant"
"sleep_health_points_std",-0.0226578724930533,0.00942245946904781,-2.40466648516589,0.0161872311538719,"CHIP","sleep_health_points_std",0.977596889351895,0.959708301734736,0.995818913250013,"Significant"
"bmi_points_scaled",-0.000383013680171909,0.00341889121936991,-0.112028624368604,0.910800710463643,"CHIP","bmi_points_scaled",0.999617059660204,0.992940992198862,1.00633801385409,"Not Significant"
"bmi_points_std",-0.00109419846013759,0.00976713287612108,-0.112028624368642,0.910800710463612,"CHIP","bmi_points_std",0.998906399956715,0.979965630454481,1.01821325653199,"Not Significant"
"Blood_lipid_points_scaled",0.0167821131952432,0.00323753678886869,5.18360540425163,2.17637138935223e-07,"CHIP","Blood_lipid_points_scaled",1.01692372392355,1.0104911917398,1.02339720398555,"Significant"
"Blood_lipid_points_std",0.0506986147367815,0.00978056985109208,5.18360540425163,2.17637138935221e-07,"CHIP","Blood_lipid_points_std",1.05200578645908,1.03203099221924,1.07236718963599,"Significant"
