exposure	chip	outcome	n_nochip	hr_nochip	se_nochip	z_nochip	pval_nochip	lci_nochip	uci_nochip	n_chip	hr_chip	se_chip	z_chip	pval_chip	lci_chip	uci_chip	beta_inter	se_inter	z_inter	pval_inter
LE8_composite_scaled	CHIP	composite_mi_cad_stroke_death	377390	0.724786057579326	0.00521407185780338	-61.7327051579232	0	0.71741690225779	0.732230907312273	26946	0.751016667811349	0.0176395029093142	-16.232171324785	2.98703443300451e-59	0.725495634637857	0.777435463980434	0.034566702254131	0.0182316362456423	1.89597366842995	0.057963526482096
LE8_composite_scaled	ASXL1	composite_mi_cad_stroke_death	401862	0.726490225598673	0.00502667599007731	-63.5669079904621	0	0.719367910913979	0.733683056865631	2474	0.786103300811967	0.0494480560090072	-4.86706836716299	1.1326585494028e-06	0.713492411227908	0.866103675137869	0.0660886016121825	0.0488228447486109	1.35364094313785	0.175850957855485
LE8_composite_scaled	TET2	composite_mi_cad_stroke_death	399143	0.726114760359713	0.00503825089058377	-63.5234750073198	0	0.718979815395029	0.733320510427071	5193	0.77408387685022	0.040613055248692	-6.30523957560437	2.87748451297802e-10	0.714855275381663	0.838219803413424	0.0667670356018937	0.0404465092955346	1.65074902049124	0.0987898336614288
LE8_composite_scaled	DNMT3A	composite_mi_cad_stroke_death	389276	0.72639316024583	0.00510604859142734	-62.6049403911298	0	0.719159910594763	0.733699161311074	15060	0.737037723089074	0.0246760595738499	-12.3648673539954	4.04879127947733e-35	0.702239762324917	0.773560020950486	0.0168828754415005	0.024991303798508	0.675550006418971	0.499326391836943
LE8_composite_scaled	non_DNMT3A	composite_mi_cad_stroke_death	391642	0.725182800000465	0.00510770618846473	-62.9111202016495	0	0.717959270295967	0.732479007060838	12694	0.769826039719829	0.0244650940324909	-10.6924057497225	1.10467773834774e-26	0.733783380923173	0.807639075560864	0.0585067700895033	0.0247642289547851	2.36255165449834	0.0181496119397551
LE8_composite_scaled	CHIP	Coronary_Artery_Disease_INTERMEDIATE	383156	0.717494991396714	0.00524839512554061	-63.255395995035	0	0.71015219168807	0.724913713855711	27477	0.750150442027024	0.0176511194734958	-16.2868708485852	1.22330208744615e-59	0.724642346041446	0.776556447118196	0.0436944212526073	0.01825071191457	2.39412147083013	0.0166602302177403
LE8_composite_scaled	ASXL1	Coronary_Artery_Disease_INTERMEDIATE	408100	0.719499857948248	0.00505738888542207	-65.092670851327	0	0.712403189713634	0.726667220279631	2533	0.795161200749622	0.0498350489042046	-4.5993817942185	4.23746551569572e-06	0.721166443336736	0.876748136327731	0.0911035409281627	0.0490508117880585	1.85732993210812	0.0632642284201577
LE8_composite_scaled	TET2	Coronary_Artery_Disease_INTERMEDIATE	405337	0.719211147694321	0.00507006661682313	-65.0090660978791	0	0.712099632707575	0.726393683143773	5296	0.776485450616545	0.0403354633223181	-6.27183507674129	3.56817425293299e-10	0.717463338290541	0.840363016256336	0.0777518604925665	0.0401732842195812	1.9354121029186	0.0529397452981832
LE8_composite_scaled	DNMT3A	Coronary_Artery_Disease_INTERMEDIATE	395281	0.719254439895794	0.00513768285766516	-64.141776117181	0	0.712048126124869	0.726533685476045	15352	0.739471005176258	0.0247713048438213	-12.1842675704606	3.77025247456073e-34	0.70442664846997	0.776258775394264	0.0289075538784427	0.0250946653434188	1.15194020254284	0.2493456464748
LE8_composite_scaled	non_DNMT3A	Coronary_Artery_Disease_INTERMEDIATE	397682	0.718325638190882	0.00514076397823096	-64.3546910665438	0	0.711124335806646	0.72559986559458	12951	0.764021201210923	0.0244226509874943	-11.020905963992	3.02994032250944e-28	0.728310903818676	0.801482433997872	0.0615364482391716	0.0247154365799398	2.48979814862415	0.0127815663491839
LE8_composite_scaled	CHIP	Coronary_Artery_Disease_Death	399596	0.597352936965068	0.0207798170940348	-24.79555781181	1.00106872429593e-135	0.573512900011969	0.622183967079635	29088	0.654669355033478	0.0660415239588187	-6.41452448223044	1.41263089213815e-10	0.57518475271664	0.745137909855362	0.0883060138221784	0.0685166960596302	1.28882475222281	0.197459018788769
LE8_composite_scaled	ASXL1	Coronary_Artery_Disease_Death	425908	0.604686343734686	0.0199835704116653	-25.1729488341154	7.92564173781695e-140	0.581460362379036	0.62884006882806	2776	0.483949237974202	0.164780644097003	-4.40449339157312	1.06031372984359e-05	0.350379163787808	0.668438335213472	-0.188790319220681	0.155218620224046	-1.21628654441185	0.223875785448417
LE8_composite_scaled	TET2	Coronary_Artery_Disease_Death	423073	0.600932726892828	0.019925023497692	-25.5594321410773	4.31304877454904e-144	0.577917233936068	0.624864809431862	5611	0.755452617875361	0.190664871081987	-1.47084365301115	0.141333403925349	0.519891836423595	1.09774498822816	0.234135490321747	0.185260332563234	1.26381879532593	0.206295073448639
LE8_composite_scaled	DNMT3A	Coronary_Artery_Disease_Death	412553	0.602492310913654	0.0202711474538638	-24.9951502163842	6.90266956344508e-138	0.579024148744525	0.626911650398601	16131	0.605010917974214	0.0941251810837533	-5.33872837310793	9.36007523055885e-08	0.503087715276412	0.727583281708417	0.00867912142793576	0.0958554084032737	0.0905438886809787	0.927855019033017
LE8_composite_scaled	non_DNMT3A	Coronary_Artery_Disease_Death	414847	0.598215697555093	0.020331340931775	-25.2715201392259	6.57059170043641e-141	0.57484629451958	0.622535144112575	13837	0.68758029875175	0.0893373019741591	-4.1928360248194	2.75488578399139e-05	0.577137607855927	0.819157616478816	0.132523390517136	0.0899033673729009	1.47406481414046	0.140464141043671
